taxname=;
mxram 4096;
taxname +27;
nstates num 32;
xread
'File downloaded from graemetlloyd.com'
373 115
& [numeric]
Otolemur_crassicaudatus      1010414241120001103422060420222206812004-200244404122000A66C0-022011-624020-201122-600160-22010210010001000200002142002112124210021010202020163230101001421000002000200020422001000120144400440001242022001421?10114300041202004022111160021?011432121122100102161202300222103112030011100032100600001012300120-11000201140000020200?1120220051011010120121011200010000000000??????00
Panobius_russelli            ???????????????????????????????????10--4-202-00?2????0209?61410020464422224420222444002?3122210210010????????????????????????????????????????????0?0240-0-000100202020200002200?0???0????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
Parapithecus_fraasi          2-0--?000????2?0000322020422422004612004-000002040040000462C0-0224222002220-0120022020440-00020210220?????????????????2????????????????????????????????????????????????????????????0??1??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
Parapithecus_grangeri        3-0----------2?0000322020421422205712013?0000040?0140000140C0-0114112102120-1110012120440-000202102101??????????2121?021110000400220002001000412300120200-004400203031002322020102?23??????04?02122022222122???????3200242?001106201012001?????????????????????????????????????????????????????????002002221204121?0020??202111111???1?10?02?2??10??12?????034404100000????????????0?
Perodicticus_potto           1010414241100001113422060400311203311004-202020110000001A0660-012211-600020-201202-600280-3112021002000110300004114100212214401001200000000004120010120112100000000030203142100010002010260042010013202003346102111422304441000452?120100000?01143202011210010204010244001010110004002203105400060100101221012201100020114011?020200?11132200510010201201120[35]3221010000100000??????0?
Phenacopithecus_krishtalkai  ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????0002000?00041?202004--0-000000204020410400???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????04?????0??????????????????
Phenacopithecus_xueshii      ?????0??????????????2200240022220??11004-20012?220?200106?5242002?022424222220002024000?211?220210000????????????????????????????????????????????0??140-0-?00????????????300?00??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
Phileosimias_kamali          ?????????????????????????40022?22??12002220222?220?200206?14410022020224324220002202102?2112021210020????????????????????????????????????????????0?024000-000400201?22200312220??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
Plesiadapis_tricuspidens     2?0--?4441?04-------24--?420420224810--4-200042220000000220C4400204622242225402222220020441410041000010400242-1201????-1121001401200002021000212202022000-03040020402020000222040000400?0?0042003020222221248?110104?2020440000460002?000000?00000000100100101?000000000020120102240004020?42000200004220201200-00?0001???20101000?12000200000??000000?????00002?000001????????????0?
Plesiolestes_problematicus   11018042210040?0000222?204202202256140201402044424000000A26443002020242432454020222400204312000410000??????????????????11????20002000120210002024020240-0-0402122040004100022204000?201??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
Pondaungia_cotteri           1?0????0?????4?00??322?20422222006812004-202044220422000002C210?2404240222252103022400210-33200210022?2?2040200???2?022123??0040022200100?00?412202?00-00-202200204020002404???200?24??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????05????11??????????????????
Pronycticebus_gaudryi        10002?00001??2??????00???40022022?6120021200040222000020864623202026-6242222400224-600000-12000210020?????????????20???01????2200200020001000012002022020-000200224020202002420400??212????????????????????????????????????????????????????????????????????????????????????????????????????????????004?224012?400101320???2????????11010400000??01110010?0003110??00??1????????????0?
Propithecus_spp              201---424----001103424---41040-106812004-204301434102000A06C42002323-6240012202223-600240-42020110021014[13]0400104014100613----0000100010000000102001010000-402000241040010040101000302122260141020024002410242111011420004020400440?12102000011112221210221001022601002002200331000[13]000310003222061010201202012200100020003201010000110103122050000020010000242322100000000000??????00
Propliopithecus_chirobates   1000202000120220000324---4002222068142231412134230230000110C110204002011120-2100022020310-12020210020?????????????2014613---00400010001201000412002100-00-000000022022001422????02??2??????04203322020222103?????????????????????211012??0???????????????????????01010202????????????????????????????????????????????????????????????????????????????????????????????????????????????
Propliopithecus_haeckeli     ?????????????2?00?0324---400222206814224-4002?4220020000220C0-02040?2200220-210?024230240-?2020210020??????????????????????????????????????????????????????????????????????????????04????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
Proteopithecus_sylviae       1100200000140221000322050400222203414224-4002302401200002006210002010224121220002102101611110202100001?20040?0??21201021201002400202010000100412[13]11111010-00010010[024]01100233100001040201????000041220212121244??????4200224200112?????????????????????????????????011100022004[13]10020120201??????????000202?21020-???0020???02111111???1?1??12?4??10??12?????01440210??00??????????????
Protoadapis_curvicuspidens   1??02????????2?000?30002?4?0220?267120?4-20022?44000002?6A4C21002046-6242222402224-600200-22?002100?0????????????????????????0?20?2002000120?412?0??22020-0000000?304?2?0400?????0???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
